'Case','Image','Detector','Descriptor','Matcher','Selector','Detector Duration (ms)','Descriptor Duration (ms)','Matching Duration (ms)','Keypoints','Mean Size','StdDev Size','Matches'
31,6,SIFT,BRIEF,BF,KNN,75.001,0.779433,0.185865,137,5.40798,6.51365,74
31,7,SIFT,BRIEF,BF,KNN,74.9774,0.460269,0.193745,148,4.62187,5.14347,76
31,8,SIFT,BRIEF,BF,KNN,75.4353,0.816128,0.199946,159,5.51997,6.67003,70
31,9,SIFT,BRIEF,BF,KNN,75.4175,0.841411,0.202132,137,5.6251,6.68117,88
33,1,SIFT,FREAK,BF,KNN,63.1169,28.5947,0.163139,131,4.74724,4.78608,65
33,2,SIFT,FREAK,BF,KNN,62.0313,28.543,0.150894,123,4.60915,4.79835,72
33,3,SIFT,FREAK,BF,KNN,63.2933,28.7395,0.164677,136,4.43438,3.94841,64
33,4,SIFT,FREAK,BF,KNN,63.5836,30.7918,0.168411,133,4.42063,4.3147,66
33,5,SIFT,FREAK,BF,KNN,78.0282,30.8969,0.145813,139,4.40335,4.50511,59
33,6,SIFT,FREAK,BF,KNN,78.1418,30.7575,0.165348,135,4.8533,4.68839,59
33,7,SIFT,FREAK,BF,KNN,78.9809,30.698,0.181474,147,4.37534,4.20003,64
33,8,SIFT,FREAK,BF,KNN,76.5313,28.7761,0.20326,158,5.29605,6.06619,65
33,9,SIFT,FREAK,BF,KNN,62.9335,28.6117,0.173901,135,5.10212,5.15407,79
34,1,SIFT,SIFT,BF,KNN,63.5517,50.4525,0.177376,132,5.08981,6.173,82
34,2,SIFT,SIFT,BF,KNN,63.7568,50.6164,0.128409,124,4.93926,6.02017,81
34,3,SIFT,SIFT,BF,KNN,64.1533,54.2802,0.21084,137,4.73123,5.24027,85
34,4,SIFT,SIFT,BF,KNN,66.1715,53.7741,0.158659,134,4.7196,5.51047,93
34,5,SIFT,SIFT,BF,KNN,67.6782,53.997,0.197019,140,4.68398,5.57654,90
34,6,SIFT,SIFT,BF,KNN,67.6873,53.3704,0.21841,137,5.40798,6.51365,81
34,7,SIFT,SIFT,BF,KNN,66.6259,53.2678,0.164952,148,4.62187,5.14347,82
34,8,SIFT,SIFT,BF,KNN,67.6649,53.9512,0.242955,159,5.51997,6.67003,102
34,9,SIFT,SIFT,BF,KNN,72.4669,54.4045,0.201162,137,5.6251,6.68117,104
35,1,AKAZE,AKAZE,BF,KNN,32.7154,29.01,0.155765,157,7.4902,3.52456,138
35,2,AKAZE,AKAZE,BF,KNN,36.375,30.0775,0.163434,161,7.45211,3.55275,138
35,3,AKAZE,AKAZE,BF,KNN,38.9784,27.7646,0.166731,155,7.57522,3.45896,133
35,4,AKAZE,AKAZE,BF,KNN,36.7029,28.6785,0.143373,163,7.73319,3.43779,127
35,5,AKAZE,AKAZE,BF,KNN,33.5211,27.3636,0.190126,164,7.68803,3.37843,129
35,6,AKAZE,AKAZE,BF,KNN,33.9643,28.315,0.160771,173,7.73878,3.43237,146
35,7,AKAZE,AKAZE,BF,KNN,39.9616,32.105,0.167284,175,7.82612,3.50975,147
35,8,AKAZE,AKAZE,BF,KNN,35.4529,35.0691,0.2849,177,7.81555,3.49352,151
35,9,AKAZE,AKAZE,BF,KNN,35.5372,30.1508,0.17262,179,7.88575,3.60137,150
