'Case','Image','Detector','Descriptor','Matcher','Selector','Detector Duration (ms)','Descriptor Duration (ms)','Matching Duration (ms)','Keypoints','Mean Size','StdDev Size','Matches'
6,5,HARRIS,BRIEF,BF,KNN,6.56011,0.202235,0.040846,42,6,0,24
6,6,HARRIS,BRIEF,BF,KNN,6.52078,0.153367,0.040205,17,6,0,27
6,7,HARRIS,BRIEF,BF,KNN,6.89135,0.197153,0.030924,31,6,0,17
6,8,HARRIS,BRIEF,BF,KNN,6.40732,0.164608,0.036928,24,6,0,22
6,9,HARRIS,BRIEF,BF,KNN,6.8452,0.186164,0.034695,32,6,0,23
7,1,HARRIS,ORB,BF,KNN,6.31086,2.73668,0.026493,15,6,0,12
7,2,HARRIS,ORB,BF,KNN,6.3172,2.40957,0.024097,21,6,0,14
7,3,HARRIS,ORB,BF,KNN,6.52142,2.42182,0.031853,21,6,0,17
7,4,HARRIS,ORB,BF,KNN,6.83001,2.44721,0.035533,27,6,0,20
7,5,HARRIS,ORB,BF,KNN,6.86869,2.45929,0.039673,42,6,0,25
7,6,HARRIS,ORB,BF,KNN,6.28109,2.40114,0.037912,17,6,0,17
7,7,HARRIS,ORB,BF,KNN,6.36568,2.41866,0.029091,31,6,0,16
7,8,HARRIS,ORB,BF,KNN,6.36854,2.40522,0.035904,24,6,0,22
7,9,HARRIS,ORB,BF,KNN,6.73107,2.41612,0.032918,32,6,0,21
8,1,HARRIS,FREAK,BF,KNN,6.71394,26.1639,0.032276,15,6,0,14
8,2,HARRIS,FREAK,BF,KNN,6.63215,25.869,0.030148,21,6,0,13
8,3,HARRIS,FREAK,BF,KNN,6.35657,26.0091,0.037081,21,6,0,17
8,4,HARRIS,FREAK,BF,KNN,6.28589,26.1207,0.037185,27,6,0,16
8,5,HARRIS,FREAK,BF,KNN,6.40875,26.3047,0.079053,42,6,0,17
8,6,HARRIS,FREAK,BF,KNN,7.43189,25.9632,0.049941,17,6,0,20
8,7,HARRIS,FREAK,BF,KNN,6.64425,26.2513,0.036936,31,6,0,12
8,8,HARRIS,FREAK,BF,KNN,6.31904,26.572,0.045978,24,6,0,21
8,9,HARRIS,FREAK,BF,KNN,6.39321,26.6019,0.043618,32,6,0,18
9,1,HARRIS,SIFT,BF,KNN,6.6577,8.71119,0.033159,15,6,0,13
9,2,HARRIS,SIFT,BF,KNN,6.37504,8.83178,0.022767,21,6,0,12
9,3,HARRIS,SIFT,BF,KNN,6.65161,9.10876,0.023103,21,6,0,16
9,4,HARRIS,SIFT,BF,KNN,6.32828,9.32215,0.050458,27,6,0,19
9,5,HARRIS,SIFT,BF,KNN,6.76432,9.05027,0.029933,42,6,0,24
9,6,HARRIS,SIFT,BF,KNN,6.76158,9.06539,0.03874,17,6,0,22
9,7,HARRIS,SIFT,BF,KNN,6.52759,8.98979,0.02274,31,6,0,14
9,8,HARRIS,SIFT,BF,KNN,6.4779,9.56531,0.028503,24,6,0,22
9,9,HARRIS,SIFT,BF,KNN,6.46494,9.37467,0.036041,32,6,0,23
10,1,FAST,BRISK,BF,KNN,1.29278,3.10752,0.96434,427,7,0,256
10,2,FAST,BRISK,BF,KNN,1.26965,2.92428,0.608249,404,7,0,243
10,3,FAST,BRISK,BF,KNN,1.55586,3.20469,0.59054,423,7,0,241
10,4,FAST,BRISK,BF,KNN,1.23261,2.84707,0.579991,386,7,0,239
10,5,FAST,BRISK,BF,KNN,1.20168,2.9845,0.575054,414,7,0,215
10,6,FAST,BRISK,BF,KNN,1.28797,3.08449,0.604208,418,7,0,251
10,7,FAST,BRISK,BF,KNN,1.24438,2.97196,0.591783,406,7,0,248
10,8,FAST,BRISK,BF,KNN,1.23686,3.23502,0.569043,396,7,0,243
10,9,FAST,BRISK,BF,KNN,1.29998,2.97103,0.575729,401,7,0,247
